Numero de Registro,Codigo de Producto,Descripcion,Cantidad,Fecha,Precio Unitario,Precio Total,Sucursal
1370729,99941B,Scotties des Child's Delants,8,16/07/2020,15.35,122.76,2
1370729,99941D,Pink Fairy Cake Child's Delants,8,16/07/2020,18.14,145.08,2
1370729,44272,Set/20 frutas ensaladas de papel servilletas de papel,12,16/07/2020,7.91,94.86,2
1370729,43613,Revista de helecho verde,6,16/07/2020,23.72,142.29,2
1370729,43453,Elefante floral Juguete blando,9,16/07/2020,39.53,355.725,2
1370729,45119,Botella de agua caliente de corazón rojo,3,16/07/2020,46.04,138.105,2
1370729,46433,Botella de agua caliente para perro Scottie,3,16/07/2020,46.04,138.105,2
1370729,45740,Ma Cadera de Campagne MA,1,16/07/2020,139.04,139.035,2
1370729,178494D,Juego de cubiertos de mini puntos de 3 piezas rosa de 3 piezas,6,16/07/2020,34.88,209.25,2
1370729,45116,Botella de agua caliente gris gris,4,16/07/2020,32.09,128.34,2
1370729,101207,Corazones de felpudo,2,16/07/2020,62.78,125.55,2
1370729,99893,Bolsa de clavijas de diseño de rosas inglesas,6,16/07/2020,19.53,117.18,2
1370729,178042A,Soporte de placa de vidrio de 3 niveles rosa,2,16/07/2020,118.58,237.15,2
1370729,101071,Topiario de la alfombra de puertas,2,16/07/2020,62.78,125.55,2
1370729,44587,Caja de baratijas de cerámica de fresa,12,16/07/2020,11.63,139.5,2
1370729,44585,Caja de baratijas de cerámica de amor,12,16/07/2020,11.63,139.5,2
1370729,46591,Soporte de tarjeta de estrella roja,6,16/07/2020,27.44,164.61,2
1370729,46555,Álbum familiar marco de imágenes blancas,4,16/07/2020,79.05,316.2,2
1370729,178042C,Soporte verde de placa de vidrio de 3 niveles,1,16/07/2020,118.58,118.575,2
1370729,178359A,Taburete plegable de peonía verde grande,6,16/07/2020,19.53,117.18,2
1370729,178359B,Taburete plegable de peonía rosa grande,6,16/07/2020,19.53,117.18,2
1370729,46622,Pan con freing azul Polkadot,4,16/07/2020,39.53,158.1,2
1370729,78756,Pastel de pastel de tiempo de té en caja de regalo,4,16/07/2020,99.98,399.9,2
1370729,101189,Pastel de hadas,4,16/07/2020,62.78,251.1,2
1370729,101195,Repuestos de bienvenida a la alfombra de la puerta,2,16/07/2020,62.78,125.55,2
1370729,173237L,Marco de madera antigua blanca,6,16/07/2020,27.44,164.61,2
1370740,178603A,Cintas de Navidad tradicionales,12,16/07/2020,11.63,139.5,2
1370740,178603B,Cintas de los verdes exuberantes,12,16/07/2020,11.63,139.5,2
1370740,178603G,Cintas de caja de chocolate,12,16/07/2020,11.63,139.5,2
1370740,44468,Gin + Tonic Diet Metal Signo,6,16/07/2020,19.53,117.18,2
1370740,178481,60 cajas de pastel de hadas de TEATIME,48,16/07/2020,5.12,245.52,2
1370740,43569,Juego de té de piccadilly,2,16/07/2020,139.04,278.07,2
1370740,78750,Tetera de tiempo de té en la caja de regalo,2,16/07/2020,92.54,185.07,2
1370740,45438,Variedad de mini cuaderno sánscrito,18,16/07/2020,11.63,209.25,2
1370740,45400,4 velas botánicas de vainilla,6,16/07/2020,34.88,209.25,2
1370740,45717,Signo de metal cerrado abierto,2,16/07/2020,46.04,92.07,2
1370740,45392,4 velas de cena botánica de lavanda,6,16/07/2020,34.88,209.25,2
1370740,45385,Establecer 12 Flower Botanical TLight,6,16/07/2020,27.44,164.61,2
1370740,178985G,Set de perfume naranja/9 Tluces,12,16/07/2020,7.91,94.86,2
1370740,45398,4 velas botánicas de flores silvestres,6,16/07/2020,34.88,209.25,2
1370740,45198,Fantasía Font Home dulce para casa,2,16/07/2020,62.78,125.55,2
1370740,178433C,S/16 cubiertos de pistacho vintage,4,16/07/2020,118.58,474.3,2
1370740,178433F,S/16 cubiertos azul cielo vintage,2,16/07/2020,118.58,237.15,2
1370740,178433B,S/16 cubiertos de marfil vintage,2,16/07/2020,118.58,237.15,2
1370740,101193,Mat de puerta Nueva Inglaterra,2,16/07/2020,62.78,125.55,2
1370740,46780,Bag Bag Vintage Rose Paisley,6,16/07/2020,23.72,142.29,2
1370740,152796B,Vintage Cream 3 Casket Cake Stand,4,16/07/2020,92.54,370.14,2
1370740,178985L,Conjunto perfumado de lavanda/9 Tluces,12,16/07/2020,7.91,94.86,2
1370740,46152,Paquete de 60 cajas de pastel de paisley rosa,48,16/07/2020,5.12,245.52,2
1370760,178708B,Bolsa jumbo rojo blanco manchado,20,16/07/2020,18.14,362.7,3
1370760,43432,Paraguas de los niños rojas,6,16/07/2020,30.23,181.35,3
1370760,44995,Caja de almacenamiento de bosques pequeños,6,16/07/2020,19.53,117.18,3
1370760,44990,Caja de almacenamiento de bosques grandes,6,16/07/2020,27.44,164.61,3
1370760,45007,Conjunto de 3 cajas de diseño de bosque,8,16/07/2020,55.34,442.68,3
1370760,43493,Juguetes de bolsa jumbo,10,16/07/2020,18.14,181.35,3
1370760,43495,Animales de bosque de bolsas gigantes,10,16/07/2020,18.14,181.35,3
1370760,,Gastos de envio,4,16/07/2020,15,669.6,3
1370760,43510,Bolsa de Charlotte de bosque,10,16/07/2020,7.91,79.05,3
1370760,44600,Copa manchada roja,16,16/07/2020,7.91,126.48,3
1370760,44182,Bolsa de compras manchas rojas,12,16/07/2020,23.72,284.58,3
1370760,44541,Conjunto de 72 Doilies de papel de manchas ,12,16/07/2020,13.49,161.82,3
1370760,43439,Puquorador de coco rojo,2,16/07/2020,62.78,125.55,3
1370760,46941,Lonchera con tortas de hadas de cubiertos,6,16/07/2020,23.72,142.29,3
1370760,46939,Lonchera con cubiertos ,12,16/07/2020,23.72,284.58,3
1370760,45635,Luz nocturna LED de velador rojo,24,16/07/2020,15.35,368.28,3
1370760,44136,Decoración del árbol de la casa de pájaros rojos,192,16/07/2020,6.7,1285.632,3
1370760,33955C,Wrap Blue Reindeer,25,16/07/2020,3.91,97.65,3
1370760,33955D,Envoltorio el bosque de invierno,25,16/07/2020,3.91,97.65,3
1370760,45022,Canasta de Toadstools,12,16/07/2020,11.63,139.5,3
1370760,44545,Paquete de 72 cajas de pastel de manchas ,24,16/07/2020,5.12,122.76,3
1371118,,Gastos de envio,1,16/08/2020,15,167.4,3
1371118,45870,Soporte de pastel de manchas ,1,16/08/2020,101.84,101.835,3
1371602,43919,Set/5 tazones de vidrio de tapa manchada roja,3,16/08/2020,27.44,82.305,1
1371602,46616,"Titular de palomitas de maíz, grande",7,16/08/2020,15.35,107.415,1
1371672,45835,Set de dinosaurio de ocho piezas,12,16/08/2020,11.63,139.5,3
1371672,,Gastos de envio,3,16/08/2020,15,502.2,3
1371672,84097A,Pantalla de papel de color margarita roja,12,16/08/2020,11.63,139.5,3
1371672,177524A,Inglés Rose Notebook A6 Tamaño,16,16/08/2020,6.05,96.72,3
1371672,45683,Palabra de bloques de construcción de la casa,6,16/08/2020,55.34,332.01,3
1371672,46883,Corazones vintage móviles,6,16/08/2020,46.04,276.21,3
1371672,44060,12 lápices de madera de tubo de alto,12,16/08/2020,7.91,94.86,3
1371672,44056,36 lápices tubo rojo manchado,16,16/08/2020,11.63,186,3
1371672,44052,36 lápices de bosque de tubo,16,16/08/2020,11.63,186,3
1371672,177809B,Oso de crochet con rayas azules,6,16/08/2020,23.72,142.29,3
1371672,46939,Lonchera con cubiertos ,6,16/08/2020,23.72,142.29,3
1371672,177807,Animal grochet japonés,24,16/08/2020,3.91,93.744,3
1371672,46643,Flores de juego de estampillas de madera,12,16/08/2020,15.35,184.14,3
1371672,44064,12 lápices Tubo alto Red ty,12,16/08/2020,7.91,94.86,3
1371672,43575, Mini casos de punto rojo/blanco,4,16/08/2020,73.94,295.74,3
1371672,46490,Juego de hornear 9 piezas ,6,16/08/2020,46.04,276.21,3
1371672,43462,Juguete de coche blando floral,4,16/08/2020,34.88,139.5,3
1371672,178687,Candy  Bunny,6,16/08/2020,27.44,164.61,3
1371672,44623,Pegatizas de gráfico de altura de los animales de madera,6,16/08/2020,27.44,164.61,3
1371672,45761,Juego de cartas Vintage Heads and Tails,12,16/08/2020,11.63,139.5,3
1371672,46492,  tea set cerámica 11 pc,6,16/08/2020,46.04,276.21,3
1371672,178977,Tarjetas de kit 3D set/6 para niños,12,16/08/2020,7.91,94.86,3
1371672,45001,Caja de joya de rosa de gingham rojo,16,16/08/2020,15.35,245.52,3
1371672,43520,Bolsa Red ty Charlotte,10,16/08/2020,7.91,79.05,3
1371672,46064,Bolso de hombro de suki,10,16/08/2020,15.35,153.45,3
1371672,43573,Mini casos de color variado,4,16/08/2020,73.94,295.74,3
1371672,45007,Conjunto de 3 cajas de diseño de bosque,8,16/08/2020,55.34,442.68,3
1371751,45131,Conjunto de tres envolturas de regalo vintage,3,16/09/2020,18.14,54.405,1
1371751,45007,Conjunto de 3 cajas de diseño de bosque,1,16/09/2020,55.34,55.335,1
1371751,178987A,Matrioshka Muñeca Rusa Rojo,6,16/09/2020,46.04,276.21,1
1372336,178494A,Juego de cubiertos de mini puntos de 3 piezas verdes,6,16/09/2020,34.88,209.25,3
1372336,46490,Juego de hornear 9 piezas ,9,16/09/2020,46.04,414.315,3
1372336,46895,Bolsa de fiesta del bosque + set de pegatinas,8,16/09/2020,15.35,122.76,3
1372336,45967,Caja de madera de dominó,12,16/09/2020,11.63,139.5,3
1372336,43430,Paraguas rosa manchas de niños,6,16/09/2020,30.23,181.35,3
1372336,43432,Paraguas de los niños rojas,6,16/09/2020,30.23,181.35,3
1372336,46899,Bolsa de fiesta deportiva  + set de pegatinas,16,16/09/2020,15.35,245.52,3
1372336,178494D,Juego de cubiertos de mini puntos de 3 piezas rosa de 3 piezas,6,16/09/2020,34.88,209.25,3
1372336,44545,Paquete de 72 cajas de pastel de manchas ,24,16/09/2020,5.12,122.76,3
1372336,46941,Lonchera con tortas de hadas de cubiertos,6,16/09/2020,23.72,142.29,3
1372336,46939,Lonchera con cubiertos ,12,16/09/2020,23.72,284.58,3
1372336,44354,Set/10 velas rojas del partido manchado,24,16/09/2020,11.63,279,3
1372336,44281,Set/6 tazas de papel manchas rojas,12,16/09/2020,6.05,72.54,3
1372336,44268,Set/20 servilletas de papel rojas rojas,12,16/09/2020,7.91,94.86,3
1372336,44297,Placas de papel manchas de set/6 rojas,12,16/09/2020,7.91,94.86,3
1372336,44308,Colocar/6 copas de papel de fresa,12,16/09/2020,6.05,72.54,3
1372336,44293,Placas de papel de fresa establecidas/6,12,16/09/2020,7.91,94.86,3
1372336,,Gastos de envio,2,16/09/2020,15,334.8,3
1372356,94517C,Crema de dosel de red decorativa,2,16/09/2020,83.24,166.47,2
1372356,99756G,Culo con cinta de impresión floral,12,16/09/2020,11.63,139.5,2
1372356,99918,Tea Time des té acogedor,6,16/09/2020,23.72,142.29,2
1372356,43575, Mini casos de punto rojo/blanco,2,16/09/2020,73.94,147.87,2
1372356,43581,Guantes de lavado de mancha rosa ,6,16/09/2020,19.53,117.18,2
1372356,177188,Juego de 20 cortadores de galletas para niños,12,16/09/2020,18.14,217.62,2
1372356,177194,Conjunto de 3 cortadores de galletas de corazón,12,16/09/2020,11.63,139.5,2
1372356,178481,60 cajas de pastel de hadas de TEATIME,24,16/09/2020,5.12,122.76,2
1372356,178193,Juego de herramientas rosa femenino,4,16/09/2020,46.04,184.14,2
1372356,178248,Soporte de huevo de alambre blanco,3,16/09/2020,55.34,166.005,2
1372356,78756,Pastel de pastel de tiempo de té en caja de regalo,2,16/09/2020,99.98,199.95,2
1372356,178485A,75 Petit verde cuatro casos,24,16/09/2020,3.91,93.744,2
1372356,178987A,Matrioshka Muñeca Rusa Rojo,3,16/09/2020,46.04,138.105,2
1372356,,Auto para niño,1,16/09/2020,465,465,2
1372356,177580A,Jarra de melamina de color rosa/blanca,2,16/09/2020,73.94,147.87,2
1372356,78750,Tetera de tiempo de té en la caja de regalo,2,16/09/2020,92.54,185.07,2
1372356,46780,Bag Bag Vintage Rose Paisley,6,16/09/2020,23.72,142.29,2
1372356,46931,Plato de bolsa de té rojo,12,16/09/2020,7.91,94.86,2
1372356,44480,Por favor signo de metal de una persona,6,16/09/2020,19.53,117.18,2
1372356,45717,Signo de metal cerrado abierto,2,16/09/2020,46.04,92.07,2
1372356,45996,Signo de metal de gripe de hombre,6,16/09/2020,19.53,117.18,2
1372356,46435,Botella de agua caliente de chocolate,6,16/09/2020,46.04,276.21,2
1372356,46439,Té y simpatía de la botella de agua caliente,8,16/09/2020,36.74,293.88,2
1372356,46591,Soporte de tarjeta de estrella roja,6,16/09/2020,27.44,164.61,2
1372356,46620,Friting Pan Pink Polkadot,4,16/09/2020,39.53,158.1,2
1372356,46492,  tea set cerámica 11 pc,3,16/09/2020,46.04,138.105,2
1372356,46652,Pastel de pastel blanco encaje de dos niveles,2,16/09/2020,79.05,158.1,2
1372356,46658,Cake Stand Lace White,3,16/09/2020,39.53,118.575,2
1372356,46778,Bolsa de fin de semana Vintage Rose Paisley,2,16/09/2020,79.05,158.1,2
1372356,46878,Bolsa para niños Pink Polkadot,3,16/09/2020,46.04,138.105,2
1372356,46929,Plato de porción de pizza,12,16/09/2020,11.63,139.5,2
1372356,46624,Pan de leche rosa ,4,16/09/2020,34.88,139.5,2
1372356,47072,Resma de tejido blanco,1,16/09/2020,73.94,73.935,2
1372389,46017,Rompecabezas vintage de ramas costeras,8,16/09/2020,34.88,279,3
1372389,45973,Juego de copa de captura de madera tradicional,14,16/09/2020,11.63,162.75,3
1372389,45967,Caja de madera de dominó,6,16/09/2020,11.63,69.75,3
1372389,45969,S/6 Skittles de madera en bolsas de algodón,7,16/09/2020,27.44,192.045,3
1372389,45965,Set de bingo,7,16/09/2020,34.88,244.125,3
1372389,46015,Serpientes y escaleras antiguas,7,16/09/2020,34.88,244.125,3
1372389,46439,Té y simpatía de la botella de agua caliente,1,16/09/2020,36.74,36.735,3
1372389,46463,Botella de agua caliente de Union Jack,1,16/09/2020,55.34,55.335,3
1372389,44310,Bag Charlie y Lola Charlotte,10,16/09/2020,15.35,153.45,3
1372389,178884B,Charlie y Lola Wastepaper Bin Flora,3,16/09/2020,34.88,104.625,3
1372389,178884A,Charlie y Lola Wastepaper Bin Blue,3,16/09/2020,34.88,104.625,3
1372389,46778,Bolsa de fin de semana Vintage Rose Paisley,2,16/09/2020,79.05,158.1,3
1372389,46061,Bolso de hombro al cráneo,10,16/09/2020,15.35,153.45,3
1372426,178357C,Pequeño taburete plegable azul oriental,3,16/10/2020,79.05,237.15,3
1372426,178357D,Pequeño taburete plegable rojo oriental,3,16/10/2020,79.05,237.15,3
1372426,178359A,Taburete plegable de peonía verde grande,3,16/10/2020,92.54,277.605,3
1372426,178359B,Taburete plegable de peonía rosa grande,3,16/10/2020,92.54,277.605,3
1372426,178359C,Taburete plegable oriental azul grande,3,16/10/2020,92.54,277.605,3
1372426,,Gastos de envio,7,16/10/2020,15,1171.8,3
1372426,33955N,Envoltorio azul folkart ruso,25,16/10/2020,3.91,97.65,3
1372426,33955K,Envoltura arte popular,25,16/10/2020,3.91,97.65,3
1372426,178536C,Sobre 50 imágenes curiosas,12,16/10/2020,7.91,94.86,3
1372426,178987A,Matrioshka Muñeca Rusa Rojo,3,16/10/2020,46.04,138.105,3
1372426,178987B,Matrioshka Muñeca Rusa Amarillo,12,16/10/2020,46.04,552.42,3
1372426,178357B,Pequeño taburete plegable de peonía rosa,3,16/10/2020,79.05,237.15,3
1372426,178536B,Sobre 50 imágenes de flor,12,16/10/2020,7.91,94.86,3
1372426,178357A,Pequeño taburete plegable de peonía verde,3,16/10/2020,79.05,237.15,3
1372426,178536A,Sobre 50 imágenes románticas,12,16/10/2020,7.91,94.86,3
1372426,101186,Estera de puerta en inglés rosa,4,16/10/2020,62.78,251.1,3
1372426,33955P,Envoltorio el folkart ruso verde,25,16/10/2020,3.91,97.65,3
1372426,43426,Parasol eduardiano rojo,3,16/10/2020,55.34,166.005,3
1372426,43439,Puquorador de coco rojo,4,16/10/2020,62.78,251.1,3
1372426,43573,Mini casos de color variado,2,16/10/2020,73.94,147.87,3
1372426,43575, Mini casos de punto rojo/blanco,2,16/10/2020,73.94,147.87,3
1372426,43974,Set/6 Garden Gnome TLight Velas,6,16/10/2020,27.44,164.61,3
1372426,101210,Puerta Mat Green Paisley,4,16/10/2020,62.78,251.1,3
1372426,45001,Caja de joya de rosa de gingham rojo,8,16/10/2020,15.35,122.76,3
1372426,45005,Joya de flores de gingham verde,8,16/10/2020,15.35,122.76,3
1372426,45200,Manchado en casa dulce hogar felpudos,2,16/10/2020,62.78,125.55,3
1372426,46309,Envoltura de regalo de caravana vintage,25,16/10/2020,3.91,97.65,3
1372426,46874,Decoración de pájaros punto rojo,12,16/10/2020,7.91,94.86,3
1372426,44554,"Establecer 3 té de lata rojo, café, azúcar",4,16/10/2020,46.04,184.14,3
1372428,44657,Árbol de plumas de ganso rosa 60 cm,1,16/10/2020,92.54,92.535,3
1372428,45207,Tetera tradicional del punto ,2,16/10/2020,73.94,147.87,3
1372428,46578,Lámpara de punto ,2,16/10/2020,92.54,185.07,3
1373106,,Gastos de envio,2,16/12/2020,15,334.8,1
1373106,46939,Lonchera con cubiertos ,6,16/12/2020,23.72,142.29,1
1373106,46492,  tea set cerámica 11 pc,3,16/12/2020,46.04,138.105,1
1373106,44545,Paquete de 72 cajas de pastel de manchas ,24,16/12/2020,5.12,122.76,1
1373106,44354,Set/10 velas rojas del partido manchado,24,16/12/2020,11.63,279,1
1373106,45274,Lonchera de fresa con cubiertos,6,16/12/2020,23.72,142.29,1
1373106,44600,Copa manchada roja,8,16/12/2020,7.91,63.24,1
1373106,46731,6 fresas de crochet,36,16/12/2020,11.63,418.5,1
1373106,46578,Lámpara de punto ,2,16/12/2020,92.54,185.07,1
1373106,46931,Plato de bolsa de té rojo,12,16/12/2020,7.91,94.86,1
1373106,45482,Plato de beurre de vidrio,8,16/12/2020,36.74,293.88,1
1373106,45509,Mancha de cajón de cerámica,12,16/12/2020,11.63,139.5,1
1373106,45511,Mancha blanca perilla de cajón de cerámica roja,24,16/12/2020,11.63,279,1
1373282,44354,Set/10 velas rojas del partido manchado,24,16/12/2020,11.63,279,3
1373282,46374,Kit de la cadena de papel  ,18,16/12/2020,27.44,493.83,3
1373282,46389,Papel Bunting  s,18,16/12/2020,27.44,493.83,3
1373282,178494C,Mini de 3 piezas de 3 piezas Mini cubiertos,12,16/12/2020,34.88,418.5,3
1373282,21004,Globo político inflable,48,16/12/2020,7.91,379.44,3
1373282,43575, Mini casos de punto rojo/blanco,12,16/12/2020,59.06,708.66,3
1373282,44188,Delantal manchado rojo,6,16/12/2020,55.34,332.01,3
1373282,44612,Plato manchado azul,8,16/12/2020,15.72,125.736,3
1373282,44604,Copa manchada azul,8,16/12/2020,7.91,63.24,3
1373282,46150,Paquete de 60 fundas de pastel de hongos,24,16/12/2020,5.12,122.76,3
1373282,44182,Bolsa de compras manchas rojas,18,16/12/2020,23.72,426.87,3
1373282,44060,12 lápices de madera de tubo de alto,12,16/12/2020,7.91,94.86,3
1373282,44608,Plato manchado rojo,8,16/12/2020,15.72,125.736,3
1373282,45238,Tatuajes de transferencia de agua del bosque,36,16/12/2020,7.91,284.58,3
1373282,178494B,Red 3 piezas Mini Dots Catherlery Set,12,16/12/2020,34.88,418.5,3
1373282,45761,Juego de cartas Vintage Heads and Tails,36,16/12/2020,11.63,418.5,3
